Date : 2021-09-28 23:18:27
Directory : /home/rivalq/CS/store
Total : 62 files,  9956 codes, 2601 comments, 13831 blanks, all 26388 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /home/rivalq/CS/store/src/main/resources/templates/dashboard/Cart.html                                                                          | HTML       |         49 |          0 |          3 |         52 |
| /home/rivalq/CS/store/src/main/resources/templates/dashboard/ClothBuilder.html                                                                  | HTML       |         69 |          0 |         12 |         81 |
| /home/rivalq/CS/store/src/main/resources/templates/dashboard/clothes.html                                                                       | HTML       |         38 |          0 |          7 |         45 |
| /home/rivalq/CS/store/src/main/resources/templates/dashboard/index.html                                                                         | HTML       |          7 |          0 |          1 |          8 |
| /home/rivalq/CS/store/src/main/resources/templates/dashboard/layout/footer.html                                                                 | HTML       |          0 |          0 |          1 |          1 |
| /home/rivalq/CS/store/src/main/resources/templates/dashboard/layout/header.html                                                                 | HTML       |         16 |          6 |         11 |         33 |
| /home/rivalq/CS/store/src/main/resources/templates/dashboard/layout/logoutModal.html                                                            | HTML       |         17 |          0 |          0 |         17 |
| /home/rivalq/CS/store/src/main/resources/templates/dashboard/layout/navbar.html                                                                 | HTML       |         22 |          0 |          1 |         23 |
| /home/rivalq/CS/store/src/main/resources/templates/dashboard/layout/toast.html                                                                  | HTML       |         16 |          0 |          1 |         17 |
| /home/rivalq/CS/store/src/main/resources/templates/dashboard/listclothes.html                                                                   | HTML       |         22 |          0 |          9 |         31 |
| /home/rivalq/CS/store/src/main/resources/templates/dashboard/login.html                                                                         | HTML       |         38 |          0 |          3 |         41 |
| /home/rivalq/CS/store/src/main/resources/templates/profile.html                                                                                 | HTML       |        128 |          2 |         17 |        147 |
| /home/rivalq/CS/store/src/main/resources/templates/seller.html                                                                                  | HTML       |          9 |          0 |          2 |         11 |
| /home/rivalq/CS/store/src/main/resources/templates/sellerCloths.html                                                                            | HTML       |        134 |          0 |          9 |        143 |
| /home/rivalq/CS/store/src/test/java/com/dbms/store/StoreApplicationTests.java                                                                   | Java       |          9 |          0 |          5 |         14 |
| /home/rivalq/CS/store/table.sql                                                                                                                 | SQL        |         88 |          0 |         19 |        107 |
| Total                                                                                                                                           |            |      9,956 |      2,601 |     13,831 |     26,388 |
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
